Cwe,Folder,Palm_Description,Id_of_description_1,Description_from_cwe_website_1,Score_1,Id_of_description_2,Description_from_cwe_website_2,Score_2,Id_of_description_3,Description_from_cwe_website_3,Score_3,Id_of_description_4,Description_from_cwe_website_4,Score_4,Id_of_description_5,Description_from_cwe_website_5,Score_5,Ground_Ranking,Ground_Score,Ground_ID,Ground_Desc
cwe-200,mitre-eg-2,"The login function logs in the user if the username and password are correct. It first checks if the username exists in the database. If it does, it then checks if the password matches the hashed password in the database. If both checks pass, the user is logged in and redirected to the success page.",836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.5193,523,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,0.4308,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.3784,620,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication.",0.3493,640,"The product contains a mechanism for users to recover or change their passwords without knowing the original password, but the mechanism is weak.",0.3327,237,0.0446,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-200,mitre-eg-6,"The info function displays sensitive information about the user, including username, e-mail, and ssn (last 4 digits).",213,"The product's intended functionality exposes information to certain actors in accordance with the developer's security policy, but this information is regarded as sensitive according to the intended security policies of other stakeholders such as the product's administrator, users, or others whose information is being processed.",0.4203,357,"The user interface provides a warning to a user regarding dangerous or sensitive operations, but the warning is not noticeable enough to warrant attention.",0.3963,921,The product stores sensitive information in a file system or device that does not have built-in access control.,0.3870,201,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor.",0.3722,209,"The product generates an error message that includes sensitive information about its environment, users, or associated data.",0.3686,12,0.3227,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-434,my-eg-1,The upload_pdf function saves the uploaded pdf file to the ./uploads directory.,276,"During installation, installed file permissions are set to allow anyone to modify those files.",0.2997,379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.2815,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.2672,910,The product uses or accesses a file descriptor after it has been closed.,0.2441,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.2383,3,0.2672,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-434,my-eg-3,The upload_file function saves uploaded files to the folder ./uploads if they are safe and if they are less than 2MB.,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.3994,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.3821,379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.3747,910,The product uses or accesses a file descriptor after it has been closed.,0.3240,1084,A function or method contains too many operations that utilize a data manager or file resource.,0.3105,2,0.3821,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-434,my-eg-2,The upload_image function saves uploaded images to the database base64 encoded. It also ensures that they are jpg images less than 1024kb in size.,515,A covert storage channel transfers information through the setting of bits by one program and the reading of those bits by another. What distinguishes this case from that of ordinary operation is that the bits are used to convey encoded information.,0.3374,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.3162,787,"The product writes data past the end, or before the beginning, of the intended buffer.",0.2794,1073,"The product contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.",0.2767,838,"The product uses or specifies an encoding when generating output to a downstream component, but the specified encoding is not the same as the encoding that is expected by the downstream component.",0.2739,2,0.3162,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-787,mitre-eg-2,"The main function allocates two chunks of memory, each of size 10. It then checks to make sure that the first chunk is larger than the second chunk. If it is, the program exits with an error. Otherwise, the main function copies the contents of the first chunk into the second chunk.",805,"The product uses a sequential operation to read or write a buffer, but it uses an incorrect length value that causes it to access memory that is outside of the bounds of the buffer.",0.5645,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.5479,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.5445,469,"The product subtracts one pointer from another in order to determine size, but this calculation can be incorrect if the pointers do not exist in the same memory chunk.",0.5063,416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code.",0.4993,11,0.4587,787,"The product writes data past the end, or before the beginning, of the intended buffer."
cwe-787,mitre-eg-5,"The main function does the following:

1. Checks if the user provided 1 argument.
2. Gets the argument.
3. Prints the argument.
4. Trims the trailing whitespace.
5. Makes sure it is a hex string.
6. Prints the new length.
7. Trims the slashes and new lines.
8. Prints the new length.
9. Null terminates the string.
10. Prints the string.",474,The code uses a function that has inconsistent implementations across operating systems and versions.,0.3831,1117,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.",0.3788,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3468,135,The product does not correctly calculate the length of strings that can contain wide or multi-byte characters.,0.3204,477,"The code uses deprecated or obsolete functions, which suggests that the code has not been actively reviewed or maintained.",0.3181,14,0.3007,787,"The product writes data past the end, or before the beginning, of the intended buffer."
cwe-787,codeql-eg-PotentialBufferOverflow,The main function in this code generates three random floats and converts them to strings.,343,"The product's random number generator produces a series of values which, when observed, can be used to infer a relatively small range of possibilities for the next value that could be generated.",0.4456,1241,The device uses an algorithm that is predictable and generates a pseudo-random number.,0.4442,1046,The product creates an immutable text string using string concatenation operations.,0.3873,474,The code uses a function that has inconsistent implementations across operating systems and versions.,0.3708,1235,"The code uses boxed primitives, which may introduce inefficiencies into performance-critical operations.",0.3681,29,0.2598,787,"The product writes data past the end, or before the beginning, of the intended buffer."
cwe-125,my-2,"The getIdFromArray function returns the value at the given index in the array of ids. If the index is out of bounds, the function returns -1.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3591,1025,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",0.2951,253,"The product incorrectly checks a return value from a function, which prevents it from detecting errors or exceptional conditions.",0.2831,393,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",0.2790,191,"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result.",0.2630,32,0.1759,125,"The product reads data past the end, or before the beginning, of the intended buffer."
cwe-125,my-1,"The main function prompts the user to enter an index value and then checks if the value is in bounds. If it is, the function returns the value at the index in the id_sequence array. If the value is not in bounds, the function returns -1.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4489,393,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",0.3370,1025,"The code performs a comparison between two entities, but the comparison examines the wrong factors or characteristics of the entities, which can lead to incorrect results and resultant weaknesses.",0.3226,253,"The product incorrectly checks a return value from a function, which prevents it from detecting errors or exceptional conditions.",0.3143,1335,An integer value is specified to be shifted by a negative amount or an amount greater than or equal to the number of bits contained in the value causing an unexpected or indeterminate result.,0.3060,24,0.2605,125,"The product reads data past the end, or before the beginning, of the intended buffer."
cwe-125,mitre-eg-1,"The getValueFromArray function takes an array of integers, the size of the array, and an index as input. It returns the value at the given index if the index is within bounds, and -1 otherwise.",1335,An integer value is specified to be shifted by a negative amount or an amount greater than or equal to the number of bits contained in the value causing an unexpected or indeterminate result.,0.4594,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3721,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.3646,191,"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result.",0.3603,393,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",0.3581,31,0.2172,125,"The product reads data past the end, or before the beginning, of the intended buffer."
cwe-732,codeql-eg-DoNotCreateWorldWriteable-a,"   return 0;
} The main function saves the important config to a file.",1107,"The source code uses symbolic constants, but it does not sufficiently place the definitions of these constants into a more centralized or isolated location.",0.3593,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.3472,910,The product uses or accesses a file descriptor after it has been closed.,0.3407,474,The code uses a function that has inconsistent implementations across operating systems and versions.,0.3200,1071,"The source code contains a block that does not contain any code, i.e., the block is empty.",0.2957,190,0.0772,732,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.
cwe-732,codeql-eg-DoNotCreateWorldWriteable-b,"The main function saves the important config to a file, ensuring it is not world-writable.",1108,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",0.4167,1107,"The source code uses symbolic constants, but it does not sufficiently place the definitions of these constants into a more centralized or isolated location.",0.3944,15,One or more system settings or configuration elements can be externally controlled by a user.,0.3471,1127,"The code is compiled without sufficient warnings enabled, which may prevent the detection of subtle bugs or quality issues.",0.3452,910,The product uses or accesses a file descriptor after it has been closed.,0.3396,47,0.2104,732,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.
cwe-732,codeql-eg-WeakFilePermissions,"This program saves a super secret string to a file called ""secret.txt"" and then sets restricted permissions on the file so that only the owner can read it.",379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.4655,921,The product stores sensitive information in a file system or device that does not have built-in access control.,0.4575,1220,"The product implements access controls via a policy or other feature with the intention to disable or restrict accesses (reads and/or writes) to assets in a system from untrusted agents. However, implemented access controls lack required granularity, which renders the control policy too broad because it allows accesses from unauthorized agents to the security-sensitive assets.",0.4325,425,"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files.",0.4239,732,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.,0.4025,5,0.4025,732,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.
cwe-190,mitre-eg-4,The main function in this program sums the number of sales for each quarter of the year and prints the results to the console.,1041,"The product has multiple functions, methods, procedures, macros, etc. that contain the same code.",0.3511,393,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",0.3332,474,The code uses a function that has inconsistent implementations across operating systems and versions.,0.3259,1333,"The product uses a regular expression with an inefficient, possibly exponential worst-case computational complexity that consumes excessive CPU cycles.",0.3254,193,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value.",0.3228,11,0.3055,190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
cwe-190,codeql-eg-ArithmeticTainted,"The main function reads in the value from the command line, adds 1000 to it, and prints the result.",474,The code uses a function that has inconsistent implementations across operating systems and versions.,0.4006,1084,A function or method contains too many operations that utilize a data manager or file resource.,0.3968,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3824,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.3753,1235,"The code uses boxed primitives, which may introduce inefficiencies into performance-critical operations.",0.3623,10,0.3373,190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
cwe-190,codeql-eg-ArithmeticUncontrolled,The main function in this code generates two random integers larger than 1000.,1241,The device uses an algorithm that is predictable and generates a pseudo-random number.,0.5413,343,"The product's random number generator produces a series of values which, when observed, can be used to infer a relatively small range of possibilities for the next value that could be generated.",0.5306,334,"The number of possible random values is smaller than needed by the product, making it more susceptible to brute force attacks.",0.4833,1121,The code contains McCabe cyclomatic complexity that exceeds a desirable maximum.,0.4158,331,"The product uses an algorithm or scheme that produces insufficient entropy, leaving patterns or clusters of values that are more likely to occur than others.",0.3926,18,0.3145,190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
cwe-22,codeql-eg-TarSlip,This program unzips the tar file to /tmp/unpack.,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.3424,494,The product downloads source code or an executable from a remote location and executes the code without sufficiently verifying the origin and integrity of the code.,0.2988,379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.2967,459,The product does not properly clean up and remove temporary or supporting resources after they have been used.,0.2928,276,"During installation, installed file permissions are set to allow anyone to modify those files.",0.2811,112,0.0980,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
cwe-22,codeql-eg-Python-TaintedPath,The img function returns the image file with the name specified in the GET variable.,59,"The product attempts to access a file based on the filename, but it does not properly prevent that filename from identifying a link or shortcut that resolves to an unintended resource.",0.3027,66,"The product does not handle or incorrectly handles a file name that identifies a virtual resource that is not directly specified within the directory that is associated with the file name, causing the product to perform file-based operations on a resource that is not a file.",0.2603,1126,"The source code declares a variable in one scope, but the variable is only used within a narrower scope.",0.2522,641,"The product constructs the name of a file or other resource using input from an upstream component, but it does not restrict or incorrectly restricts the resulting name.",0.2483,134,"The product uses a function that accepts a format string as an argument, but the format string originates from an external source.",0.2453,56,0.1355,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
cwe-22,codeql-eg-C-TaintedPath,The main function reads the requested file from the safe directory.,910,The product uses or accesses a file descriptor after it has been closed.,0.5216,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.4933,379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.4391,1058,The code contains a function or method that operates in a multi-threaded environment but owns an unsafe non-final static storable or member data element.,0.4057,494,The product downloads source code or an executable from a remote location and executes the code without sufficiently verifying the origin and integrity of the code.,0.3892,51,0.2598,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
cwe-78,codeql-eg-c-ExecTainted,The main function gets the username from the command line and then uses the `cat` command to get the user information from the system.,1102,"The code uses a data representation that relies on low-level data representation or constructs that may vary across different processors, physical machines, OSes, or other physical components.",0.3231,474,The code uses a function that has inconsistent implementations across operating systems and versions.,0.3140,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3068,1109,"The code contains a callable, block, or other code element in which the same variable is used to control more than one unique task or store more than one instance of data.",0.2942,214,"A process is invoked with sensitive command-line arguments, environment variables, or other elements that can be seen by other processes on the operating system.",0.2776,221,0.0321,78,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
cwe-78,my-1,"The main function gets a directory name from the command line and then lists the contents of that directory using the ""ls"" command line utility.",1062,"The code has a parent class that contains references to a child class, its methods, or its members.",0.2816,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.2589,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.2559,1107,"The source code uses symbolic constants, but it does not sufficiently place the definitions of these constants into a more centralized or isolated location.",0.2551,474,The code uses a function that has inconsistent implementations across operating systems and versions.,0.2443,398,-0.0064,78,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
cwe-78,codeql-eg-python-CommandInjection,"The ping function pings a URL to see if it is alive using the ""ping"" system command. It takes the URL to ping as a parameter and runs the ping command using the system command ""ping"". The output of the ping command is returned.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3495,1082,The code contains a class instance that calls the method or function to delete or destroy itself.,0.2817,563,"The variable's value is assigned but never used, making it a dead store.",0.2795,1327,"The product assigns the address 0.0.0.0 for a database server, a cloud service/instance, or any computing resource that communicates remotely.",0.2682,328,"The product uses an algorithm that produces a digest (output value) that does not meet security expectations for a hash function that allows an adversary to reasonably determine the original input (preimage attack), find another input that can produce the same hash (2nd preimage attack), or find multiple inputs that evaluate to the same hash (birthday attack).",0.2605,248,0.0533,78,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
cwe-79,codeql-eg-Jinja2WithoutEscaping,"The render_response_from_env function takes an Environment object as its argument and returns a Flask response object. The function first gets the name parameter from the request object and then uses it to look up a template in the Environment object. If the template is found, the function renders it with the name parameter and returns a Flask response object with the rendered template as its content.",134,"The product uses a function that accepts a format string as an argument, but the format string originates from an external source.",0.3203,1117,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.",0.3088,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.2732,838,"The product uses or specifies an encoding when generating output to a downstream component, but the specified encoding is not the same as the encoding that is expected by the downstream component.",0.2649,628,"The product calls a function, procedure, or routine with arguments that are not correctly specified, leading to always-incorrect behavior and resultant weaknesses.",0.2643,184,0.0896,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
cwe-79,codeql-eq-ReflectedXss,The hello function says hello to the user. It takes a username as a parameter and renders a template called hello.html with the username passed in as a variable.,1117,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.",0.3625,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3070,1056,A named-callable or method control element has a signature that supports a variable (variadic) number of parameters or arguments.,0.3031,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.,0.2710,624,"The product uses a regular expression that either (1) contains an executable component with user-controlled inputs, or (2) allows a user to enable execution by inserting pattern modifiers.",0.2610,4,0.2710,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
cwe-79,codeql-eg-ExternalAPISinkExample,"The http_hello_page function constructs a response saying ""hello, [username]"" using the PAGE defines.",449,The UI performs the wrong action with respect to the user's request.,0.3484,1117,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.",0.3175,756,"The product does not return custom error pages to the user, possibly exposing sensitive information.",0.3075,523,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,0.3047,1327,"The product assigns the address 0.0.0.0 for a database server, a cloud service/instance, or any computing resource that communicates remotely.",0.2923,12,0.2539,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
