Cwe,Folder,Palm_Description,Id_of_description_1,Description_from_cwe_website_1,Score_1,Id_of_description_2,Description_from_cwe_website_2,Score_2,Id_of_description_3,Description_from_cwe_website_3,Score_3,Ground_Ranking,Ground_Score,Ground_ID,Ground_Desc
cwe-200,mitre-eg-2,"The login function logs in the user if the username and password are correct. It first checks if the username exists in the database. If it does, it then checks if the password matches the hashed password in the database. If both checks pass, the user is logged in and redirected to the success page.",836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.5193,523,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,0.4308,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.3784,237,0.0446,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-200,mitre-eg-6,"The info function displays sensitive information about the user, including username, e-mail, and ssn (last 4 digits).",213,"The product's intended functionality exposes information to certain actors in accordance with the developer's security policy, but this information is regarded as sensitive according to the intended security policies of other stakeholders such as the product's administrator, users, or others whose information is being processed.",0.4203,357,"The user interface provides a warning to a user regarding dangerous or sensitive operations, but the warning is not noticeable enough to warrant attention.",0.3963,921,The product stores sensitive information in a file system or device that does not have built-in access control.,0.3870,12,0.3227,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-434,my-eg-1,The upload_pdf function saves the uploaded pdf file to the ./uploads directory.,,,,,,,,,,3,0.2672,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-434,my-eg-3,The upload_file function saves uploaded files to the folder ./uploads if they are safe and if they are less than 2MB.,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.3994,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,0.3821,379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.3747,2,0.3821,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-434,my-eg-2,The upload_image function saves uploaded images to the database base64 encoded. It also ensures that they are jpg images less than 1024kb in size.,,,,,,,,,,2,0.3162,434,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.
cwe-787,mitre-eg-2,"The main function allocates two chunks of memory, each of size 10. It then checks to make sure that the first chunk is larger than the second chunk. If it is, the program exits with an error. Otherwise, the main function copies the contents of the first chunk into the second chunk.",805,"The product uses a sequential operation to read or write a buffer, but it uses an incorrect length value that causes it to access memory that is outside of the bounds of the buffer.",0.5645,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.5479,466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.5445,11,0.4587,787,"The product writes data past the end, or before the beginning, of the intended buffer."
cwe-787,mitre-eg-5,"The main function does the following:

1. Checks if the user provided 1 argument.
2. Gets the argument.
3. Prints the argument.
4. Trims the trailing whitespace.
5. Makes sure it is a hex string.
6. Prints the new length.
7. Trims the slashes and new lines.
8. Prints the new length.
9. Null terminates the string.
10. Prints the string.",474,The code uses a function that has inconsistent implementations across operating systems and versions.,0.3831,1117,"The code contains a function or method whose signature and/or associated inline documentation does not sufficiently describe the callable's inputs, outputs, side effects, assumptions, or return codes.",0.3788,,,,14,0.3007,787,"The product writes data past the end, or before the beginning, of the intended buffer."
cwe-787,codeql-eg-PotentialBufferOverflow,The main function in this code generates three random floats and converts them to strings.,343,"The product's random number generator produces a series of values which, when observed, can be used to infer a relatively small range of possibilities for the next value that could be generated.",0.4456,1241,The device uses an algorithm that is predictable and generates a pseudo-random number.,0.4442,1046,The product creates an immutable text string using string concatenation operations.,0.3873,29,0.2598,787,"The product writes data past the end, or before the beginning, of the intended buffer."
cwe-125,my-2,"The getIdFromArray function returns the value at the given index in the array of ids. If the index is out of bounds, the function returns -1.",,,,,,,,,,32,0.1759,125,"The product reads data past the end, or before the beginning, of the intended buffer."
cwe-125,my-1,"The main function prompts the user to enter an index value and then checks if the value is in bounds. If it is, the function returns the value at the index in the id_sequence array. If the value is not in bounds, the function returns -1.",562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4489,,,,,,,24,0.2605,125,"The product reads data past the end, or before the beginning, of the intended buffer."
cwe-125,mitre-eg-1,"The getValueFromArray function takes an array of integers, the size of the array, and an index as input. It returns the value at the given index if the index is within bounds, and -1 otherwise.",1335,An integer value is specified to be shifted by a negative amount or an amount greater than or equal to the number of bits contained in the value causing an unexpected or indeterminate result.,0.4594,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3721,,,,31,0.2172,125,"The product reads data past the end, or before the beginning, of the intended buffer."
cwe-732,codeql-eg-DoNotCreateWorldWriteable-a,"   return 0;
} The main function saves the important config to a file.",,,,,,,,,,190,0.0772,732,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.
cwe-732,codeql-eg-DoNotCreateWorldWriteable-b,"The main function saves the important config to a file, ensuring it is not world-writable.",1108,"The code is structured in a way that relies too much on using or setting global variables throughout various points in the code, instead of preserving the associated information in a narrower, more local context.",0.4167,1107,"The source code uses symbolic constants, but it does not sufficiently place the definitions of these constants into a more centralized or isolated location.",0.3944,,,,47,0.2104,732,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.
cwe-732,codeql-eg-WeakFilePermissions,"This program saves a super secret string to a file called ""secret.txt"" and then sets restricted permissions on the file so that only the owner can read it.",379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.4655,921,The product stores sensitive information in a file system or device that does not have built-in access control.,0.4575,1220,"The product implements access controls via a policy or other feature with the intention to disable or restrict accesses (reads and/or writes) to assets in a system from untrusted agents. However, implemented access controls lack required granularity, which renders the control policy too broad because it allows accesses from unauthorized agents to the security-sensitive assets.",0.4325,5,0.4025,732,The product specifies permissions for a security-critical resource in a way that allows that resource to be read or modified by unintended actors.
cwe-190,mitre-eg-4,The main function in this program sums the number of sales for each quarter of the year and prints the results to the console.,,,,,,,,,,11,0.3055,190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
cwe-190,codeql-eg-ArithmeticTainted,"The main function reads in the value from the command line, adds 1000 to it, and prints the result.",474,The code uses a function that has inconsistent implementations across operating systems and versions.,0.4006,1084,A function or method contains too many operations that utilize a data manager or file resource.,0.3968,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.3824,10,0.3373,190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
cwe-190,codeql-eg-ArithmeticUncontrolled,The main function in this code generates two random integers larger than 1000.,1241,The device uses an algorithm that is predictable and generates a pseudo-random number.,0.5413,343,"The product's random number generator produces a series of values which, when observed, can be used to infer a relatively small range of possibilities for the next value that could be generated.",0.5306,334,"The number of possible random values is smaller than needed by the product, making it more susceptible to brute force attacks.",0.4833,18,0.3145,190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control."
cwe-22,codeql-eg-TarSlip,This program unzips the tar file to /tmp/unpack.,,,,,,,,,,112,0.0980,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
cwe-22,codeql-eg-Python-TaintedPath,The img function returns the image file with the name specified in the GET variable.,,,,,,,,,,56,0.1355,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
cwe-22,codeql-eg-C-TaintedPath,The main function reads the requested file from the safe directory.,910,The product uses or accesses a file descriptor after it has been closed.,0.5216,378,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",0.4933,379,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,0.4391,51,0.2598,22,"The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory."
cwe-78,codeql-eg-c-ExecTainted,The main function gets the username from the command line and then uses the `cat` command to get the user information from the system.,,,,,,,,,,221,0.0321,78,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
cwe-78,my-1,"The main function gets a directory name from the command line and then lists the contents of that directory using the ""ls"" command line utility.",,,,,,,,,,398,-0.0064,78,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
cwe-78,codeql-eg-python-CommandInjection,"The ping function pings a URL to see if it is alive using the ""ping"" system command. It takes the URL to ping as a parameter and runs the ping command using the system command ""ping"". The output of the ping command is returned.",,,,,,,,,,248,0.0533,78,"The product constructs all or part of an OS command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended OS command when it is sent to a downstream component."
cwe-79,codeql-eg-Jinja2WithoutEscaping,"The render_response_from_env function takes an Environment object as its argument and returns a Flask response object. The function first gets the name parameter from the request object and then uses it to look up a template in the Environment object. If the template is found, the function renders it with the name parameter and returns a Flask response object with the rendered template as its content.",,,,,,,,,,184,0.0896,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
cwe-79,codeql-eq-ReflectedXss,The hello function says hello to the user. It takes a username as a parameter and renders a template called hello.html with the username passed in as a variable.,,,,,,,,,,4,0.2710,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
cwe-79,codeql-eg-ExternalAPISinkExample,"The http_hello_page function constructs a response saying ""hello, [username]"" using the PAGE defines.",,,,,,,,,,12,0.2539,79,The product does not neutralize or incorrectly neutralizes user-controllable input before it is placed in output that is used as a web page that is served to other users.
cwe-416,mitre-eg-2,"The main function does the following:

1. Allocates a temporary buffer.
2. Stores characters from stdin in the temporary buffer until receiving a newline.
3. If no characters were received, frees the memory and sets an abort flag.
4. If characters were received, stores them in an array.
5. Tidies up by freeing the temporary buffer.",466,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,0.5727,788,The product reads or writes to a buffer using an index or pointer that references a memory location after the end of the buffer.,0.5345,786,The product reads or writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,0.5282,10,0.4217,416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code."
cwe-416,my-eg-1,"The main function in this code opens a file, reads it into a buffer, calculates the checksum of the buffer, and saves the number of bytes read to the buffer and the checksum to a results file.",125,"The product reads data past the end, or before the beginning, of the intended buffer.",0.5526,788,The product reads or writes to a buffer using an index or pointer that references a memory location after the end of the buffer.,0.5319,786,The product reads or writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,0.5238,53,0.2719,416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code."
cwe-416,codeql-UseAfterFree,"The main function in this code gets the buffer size from argv, allocates a buffer, and writes 'a' to the buffer.",124,The product writes to a buffer using an index or pointer that references a memory location prior to the beginning of the buffer.,0.5527,788,The product reads or writes to a buffer using an index or pointer that references a memory location after the end of the buffer.,0.5523,805,"The product uses a sequential operation to read or write a buffer, but it uses an incorrect length value that causes it to access memory that is outside of the bounds of the buffer.",0.5447,24,0.2820,416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code."
cwe-119,mitre-eg-3,The main function prompts the user for the index of a vehicle and returns that vehicle.,1067,The product contains a data query against an SQL table or view that is configured in a way that does not utilize an index and may cause sequential searches to be performed.,0.4002,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4000,,,,120,0.2097,119,"The product performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
cwe-119,my-eg-1,returns the corresponding argument from argv[],,,,,,,,,,99,0.0880,119,"The product performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
cwe-119,codeql-eg-OverflowBuffer,copies the message to the buffer,787,"The product writes data past the end, or before the beginning, of the intended buffer.",0.4922,120,"The product copies an input buffer to an output buffer without verifying that the size of the input buffer is less than the size of the output buffer, leading to a buffer overflow.",0.4489,125,"The product reads data past the end, or before the beginning, of the intended buffer.",0.4454,12,0.3351,119,"The product performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer."
cwe-798,codeql-eg-HardcodedCredentials-c,The get_db_connection function returns a MySQLdb connection object. This object can be used to connect to a MySQL database and perform queries.,1072,The product accesses a data resource through a database without using a connection pooling capability.,0.3987,1073,"The product contains a client with a function or method that contains a large number of data accesses/queries that are sent through a data manager, i.e., does not use efficient database capabilities.",0.3776,,,,6,0.2442,798,"The product contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data."
cwe-798,codeql-eg-HardcodedCredentials-b,"The check_mod function checks if the user is a moderator. It does this by querying the database for the username and password provided. If the user is found in the database and their password matches, the function returns ""True"". Otherwise, it returns ""False"".",,,,,,,,,,40,0.1886,798,"The product contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data."
cwe-798,codeql-eg-HardcodedCredentials-a,"The check_mod function checks if the user is a moderator. It does this by checking if the username and password match the values of 'root' and 'root', respectively. If they do, the function returns 'true', otherwise it returns 'false'.",,,,,,,,,,66,0.1437,798,"The product contains hard-coded credentials, such as a password or cryptographic key, which it uses for its own inbound authentication, outbound communication to external components, or encryption of internal data."
cwe-306,my-eg-1,"The program defines a route for the user settings page. The route is protected by the ensure_logged_in decorator, which ensures that the user is logged in before they can access the page. The page itself simply returns an HTML page with the text ""Secret settings"".",15,One or more system settings or configuration elements can be externally controlled by a user.,0.4500,565,"The product relies on the existence or values of cookies when performing security-critical operations, but it does not properly ensure that the setting is valid for the associated user.",0.4490,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.4294,111,0.2562,306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
cwe-306,my-eg-3,"The change_email function is a POST route that allows a user to change their email address. The function first checks that the user is logged in and has provided the current password. If the user is not logged in or has not provided the correct password, the function returns an error message.

If the user is logged in and has provided the correct password, the function checks that the new email address is not the same as the old email address. If the new email address is the same as the old email address, the function returns an error message.

The function then checks that the new and confirm password are the same. If the new and confirm password are not the same, the function returns an error message.

If the new and confirm password are the same, the function updates the user's email address in the database and returns a message confirming that the email address has been changed.",,,,,,,,,,171,0.0806,306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
cwe-306,my-eg-2,"The admin_page function checks if the user is logged in and if the user is an admin. If the user is not an admin, the function returns a 403 error.",756,"The product does not return custom error pages to the user, possibly exposing sensitive information.",0.3747,,,,,,,17,0.2321,306,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.
cwe-89,my-eg-1,The buy_stock function inserts the buy order in the database and calls the buy function to pass stock name.,1083,"The product is intended to manage data access through a particular data manager component such as a relational or non-SQL database, but it contains code that performs data access operations without using that component.",0.3828,134,"The product uses a function that accepts a format string as an argument, but the format string originates from an external source.",0.3717,,,,19,0.2797,89,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
cwe-89,codeql-eg-SqlInjection-a,"The unsubscribe function checks if the email (GET variable) is in the database and if so, unsubscribes the user.",,,,,,,,,,143,0.1182,89,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
cwe-89,my-eg-2,"The insert_user_message_in_db function inserts a new message into the database. It takes two parameters, username and message, and uses them to construct an SQL INSERT statement. The statement is then executed, and the changes are committed to the database.",,,,,,,,,,7,0.2736,89,"The product constructs all or part of an SQL command using externally-influenced input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could modify the intended SQL command when it is sent to a downstream component."
cwe-20,codeql-eg-IncompleteUrlSubstringSanitization,"The redirect_request function redirects users to the URL in the request, but only if the url is for the ""example.com"" domain.",698,"The web application sends a redirect to another location, but instead of exiting, it executes additional code.",0.4643,601,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",0.4244,,,,212,0.0232,20,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
cwe-20,my-eg-1,The calculate_sale_value function calculates the value of a sale of a number of shares where the price comes from get_market_price().,,,,,,,,,,196,0.0927,20,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
cwe-20,codeql-eg-IncompleteHostnameRegExp,"The safe function checks if the URL passed in the request is for the example.com domain. If it is, the function redirects the user to that URL. If it is not, the function redirects the user to the homepage.",601,"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",0.4744,356,The product's user interface does not warn the user before undertaking an unsafe action on behalf of that user. This makes it easier for attackers to trick users into inflicting damage to their system.,0.4488,676,"The product invokes a potentially dangerous function that could introduce a vulnerability if it is used incorrectly, but the function can also be used safely.",0.4447,38,0.3002,20,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly."
cwe-476,codeql-eg-MissingNullTest-b,The main function allocates a new person and sets its status to 0.,,,,,,,,,,168,0.1223,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
cwe-476,codeql-eg-MissingNullTest-c,The main function in this code allocates a large buffer and copies 100 characters from stdin into it.,805,"The product uses a sequential operation to read or write a buffer, but it uses an incorrect length value that causes it to access memory that is outside of the bounds of the buffer.",0.5244,787,"The product writes data past the end, or before the beginning, of the intended buffer.",0.5219,125,"The product reads data past the end, or before the beginning, of the intended buffer.",0.4943,158,0.1389,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
cwe-476,codeql-eg-MissingNullTest-a,The main function allocates a new person and sets its status to 0.,,,,,,,,,,168,0.1223,476,"A NULL pointer dereference occurs when the application dereferences a pointer that it expects to be valid, but is NULL, typically causing a crash or exit."
cwe-200,mitre-eg-1,"The login function logs in the user if the username and password are correct. It does this by first connecting to the database and then executing a SQL query to select all rows from the users table where the username and password match the values provided in the request. If the query returns any results, then the function logs the user in by setting the session variables id and Role to the values of the first row returned by the query.",523,Login pages do not use adequate measures to protect the user name and password while they are in transit from the client to the server.,0.4077,836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.3827,260,The product stores a password in a configuration file that might be accessible to actors who do not know the password.,0.3748,80,0.0939,200,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.
cwe-522,my-eg-1-c,"The register function gets the username, password, first name, last name, and email from the user and checks if the username is already in the database. If the username is not in the database, the function inserts the username and hashed password into the database and returns a success message.",836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.4159,562,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.",0.4105,,,,16,0.2628,522,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
cwe-522,my-eg-1-b,"
#register url
@app.route('/register', methods=['POST'])
def register():
   username = request.form['username']
   password = request.form['password']
   #hash the password
   salt = os.urandom(16)
   password = password.encode('utf-8')
   password = salt + password
   password = hashlib.sha256(password)
   password = password.hexdigest()

   db = MySQLdb.connect(host='localhost', user='root', passwd='', db='users')
   cursor = db.cursor()
   cursor.execute(""SELECT * FROM user_details WHERE username = '""+username+""'"")
   data = cursor.fetchone()
   if(len(data) > 0):
      print('Username already exists, try a different one')
      return redirect('/register')
   else:
      cursor.execute(""INSERT INTO user_details (username, password, salt, email) VALUES ('""+username+""', '""+password+""', '""+salt+""', '')"")
      db.commit()
      return redirect('/login')

The register function does the following:

1. Gets the username and password from the request.
2. Hashes the password.
3. Checks if the username already exists in the database.
4. If the username does not exist, inserts the username, password, and salt into the database.
5. Redirects the user to the login page.",,,,,,,,,,27,0.1088,522,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
cwe-522,my-eg-1-a,The register function inserts a new user into the database. It takes the username and password from the request and hashes the password before inserting it into the database.,836,"The product records password hashes in a data store, receives a hash of a password from a client, and compares the supplied hash to the hash obtained from the data store.",0.4125,620,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication.",0.3866,,,,12,0.3057,522,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval."
cwe-502,codeql-eg-UnsafeDeserialization-c,"The calculate_price function takes a product code and quantity as input, and returns the total price. The function first gets the price for the product code from the get_price_for_product_code function. Then, it multiplies the price by the quantity to get the total price.",1041,"The product has multiple functions, methods, procedures, macros, etc. that contain the same code.",0.3796,,,,,,,392,-0.0126,502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
cwe-502,codeql-eg-UnsafeDeserialization-b,The temperature_for_location function gets the latitude and longitude and date from the incoming YAML payload and returns the temperature from the database.,,,,,,,,,,172,0.0564,502,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.
